question,database,output,type,cypher,explanation,syntax_error,timeout,returns_results,no_cypher
What are the roles of actors in movies released in the year 2003?,movies,"<explanation>
This query starts by finding movies released in 2003. Then, it traverses the ACTED_IN relationships from those movies to find the actors who acted in them. Finally, it returns the titles of the movies and the roles of the actors who acted in those movies.
</explanation>
```cypher
MATCH (m:Movie {released: 2003})<-[ai:ACTED_IN]-(p:Person)
RETURN m.title AS movie, p.name AS actor, ai.roles AS roles
```",Complex Aggregation Queries,"MATCH (m:Movie {released: 2003})<-[ai:ACTED_IN]-(p:Person)
RETURN m.title AS movie, p.name AS actor, ai.roles AS roles","This query starts by finding movies released in 2003. Then, it traverses the ACTED_IN relationships from those movies to find the actors who acted in them. Finally, it returns the titles of the movies and the roles of the actors who acted in those movies.",False,False,True,False
List the summaries of reviews for movies with a rating greater than 90 and released after 2000.,movies,"<explanation>
1. We start by matching the `Movie` nodes with `released` property greater than 2000.
2. Then, we match the `REVIEWED` relationships related to these movies with `rating` greater than 90.
3. Finally, we return the `summary` property of these relationships.
</explanation>
```cypher
MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE m.released > 2000 AND r.rating > 90
RETURN r.summary
```",Complex Aggregation Queries,"MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE m.released > 2000 AND r.rating > 90
RETURN r.summary","1. We start by matching the `Movie` nodes with `released` property greater than 2000.
2. Then, we match the `REVIEWED` relationships related to these movies with `rating` greater than 90.
3. Finally, we return the `summary` property of these relationships.",False,False,True,False
What is the average rating of movies released before 1990 and with less than 500 votes?,movies,"<explanation>
1. We need to find movies released before 1990: `MATCH (m:Movie) WHERE m.released < 1990`.
2. We also need to filter movies with less than 500 votes: `AND m.votes < 500`.
3. We need to get all the ratings for these movies: `WITH m, r.rating AS ratings`.
4. Finally, we can calculate the average of the collected ratings: `RETURN avg(ratings)`.

```cypher
MATCH (m:Movie)<-[r:REVIEWED]-()
WHERE m.released < 1990 AND m.votes < 500
WITH m, r.rating AS ratings
RETURN avg(ratings)
```
</explanation>
```cypher
MATCH (m:Movie)<-[r:REVIEWED]-()
WHERE m.released < 1990 AND m.votes < 500
WITH m, r.rating AS ratings
RETURN avg(ratings)
```
",Complex Aggregation Queries,"MATCH (m:Movie)<-[r:REVIEWED]-()
WHERE m.released < 1990 AND m.votes < 500
WITH m, r.rating AS ratings
RETURN avg(ratings)","1. We need to find movies released before 1990: `MATCH (m:Movie) WHERE m.released < 1990`.
2. We also need to filter movies with less than 500 votes: `AND m.votes < 500`.
3. We need to get all the ratings for these movies: `WITH m, r.rating AS ratings`.
4. Finally, we can calculate the average of the collected ratings: `RETURN avg(ratings)`.

```cypher
MATCH (m:Movie)<-[r:REVIEWED]-()
WHERE m.released < 1990 AND m.votes < 500
WITH m, r.rating AS ratings
RETURN avg(ratings)
```",False,False,True,False
Which movies were released after 2000 and have a rating below 70?,movies,"<explanation>
This query looks for movies released after 2000 with a rating below 70. 

1. **MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)**: This part finds all movies that have been reviewed and returns the movie node, the review relationship, and the person node.
2. **WHERE m.released > 2000 AND r.rating < 70**: This filters the results to only include movies released after 2000 and have a rating less than 70.
3. **RETURN DISTINCT m.title AS MovieTitle**: This returns the title of each movie that meets the criteria. The DISTINCT keyword is used to avoid duplicate titles in the result set.

</explanation>
```cypher
MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE m.released > 2000 AND r.rating < 70
RETURN DISTINCT m.title AS MovieTitle
```",Complex Aggregation Queries,"MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE m.released > 2000 AND r.rating < 70
RETURN DISTINCT m.title AS MovieTitle","This query looks for movies released after 2000 with a rating below 70. 

1. **MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)**: This part finds all movies that have been reviewed and returns the movie node, the review relationship, and the person node.
2. **WHERE m.released > 2000 AND r.rating < 70**: This filters the results to only include movies released after 2000 and have a rating less than 70.
3. **RETURN DISTINCT m.title AS MovieTitle**: This returns the title of each movie that meets the criteria. The DISTINCT keyword is used to avoid duplicate titles in the result set.",False,False,True,False
List the taglines of movies acted in by someone born before 1960.,movies,"<explanation>
1. We need to find all persons that were born before 1960.
2. Then we need to find all the movies these persons acted in.
3. Finally, we return the taglines of those movies.

```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE p.born < 1960
RETURN DISTINCT m.tagline
```
</explanation>
```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE p.born < 1960
RETURN DISTINCT m.tagline
```",Complex Aggregation Queries,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE p.born < 1960
RETURN DISTINCT m.tagline","1. We need to find all persons that were born before 1960.
2. Then we need to find all the movies these persons acted in.
3. Finally, we return the taglines of those movies.

```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE p.born < 1960
RETURN DISTINCT m.tagline
```",False,False,True,False
"What are the roles of actors in movies with ""Matrix"" in the title?",movies,"<explanation>
This Cypher query identifies the roles of actors in movies with ""Matrix"" in the title:

1. **MATCH (m:Movie)**: This line starts by finding all nodes with the label ""Movie"" and assigns them the variable ""m"".
2. **WHERE m.title CONTAINS ""Matrix""**: This line filters the found Movie nodes to only include those where the title property contains the string ""Matrix"".
3. **MATCH (p:Person)-[:ACTED_IN]->(m)**: This line looks for relationships of type ""ACTED_IN"" where the start node is a Person (assigned the variable ""p"") and the end node is one of the previously filtered Movie nodes (m).
4. **RETURN m.title, p.name, ai.roles**: This line returns the title of the movie, the name of the person who acted in it, and the roles they had in the movie.

This query effectively combines pattern matching and property filtering to pinpoint the desired information within the graph.
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.title CONTAINS ""Matrix""
MATCH (p:Person)-[ai:ACTED_IN]->(m)
RETURN m.title, p.name, ai.roles
```",Complex Aggregation Queries,"MATCH (m:Movie)
WHERE m.title CONTAINS ""Matrix""
MATCH (p:Person)-[ai:ACTED_IN]->(m)
RETURN m.title, p.name, ai.roles","This Cypher query identifies the roles of actors in movies with ""Matrix"" in the title:

1. **MATCH (m:Movie)**: This line starts by finding all nodes with the label ""Movie"" and assigns them the variable ""m"".
2. **WHERE m.title CONTAINS ""Matrix""**: This line filters the found Movie nodes to only include those where the title property contains the string ""Matrix"".
3. **MATCH (p:Person)-[:ACTED_IN]->(m)**: This line looks for relationships of type ""ACTED_IN"" where the start node is a Person (assigned the variable ""p"") and the end node is one of the previously filtered Movie nodes (m).
4. **RETURN m.title, p.name, ai.roles**: This line returns the title of the movie, the name of the person who acted in it, and the roles they had in the movie.

This query effectively combines pattern matching and property filtering to pinpoint the desired information within the graph.",False,False,True,False
Which person directed a movie released in 2003 and born after 1950?,movies,"<explanation>
This query starts by matching all 'Person' nodes with 'born' property greater than 1950. It then traverses through 'DIRECTED' relationships to find 'Movie' nodes released in 2003. Finally, it returns the names of the people who meet the criteria. 
</explanation>
```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born > 1950 AND m.released = 2003
RETURN p.name
```",Complex Aggregation Queries,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born > 1950 AND m.released = 2003
RETURN p.name","This query starts by matching all 'Person' nodes with 'born' property greater than 1950. It then traverses through 'DIRECTED' relationships to find 'Movie' nodes released in 2003. Finally, it returns the names of the people who meet the criteria.",False,False,True,False
"Find the average number of votes for movies with a tagline containing ""end"".",movies,"<explanation>
1. **Find movies with a tagline containing ""end"":** We can use `MATCH (m:Movie)` to find all movie nodes and then use `WHERE` clause with `CONTAINS` to filter movies whose tagline property contains ""end"".
2. **Calculate the average number of votes:** We can use the `avg()` function to compute the average votes for the filtered movies.

```cypher
MATCH (m:Movie)
WHERE m.tagline CONTAINS 'end'
RETURN avg(m.votes) AS average_votes
```
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.tagline CONTAINS 'end'
RETURN avg(m.votes) AS average_votes
```",Complex Aggregation Queries,"MATCH (m:Movie)
WHERE m.tagline CONTAINS 'end'
RETURN avg(m.votes) AS average_votes","1. **Find movies with a tagline containing ""end"":** We can use `MATCH (m:Movie)` to find all movie nodes and then use `WHERE` clause with `CONTAINS` to filter movies whose tagline property contains ""end"".
2. **Calculate the average number of votes:** We can use the `avg()` function to compute the average votes for the filtered movies.

```cypher
MATCH (m:Movie)
WHERE m.tagline CONTAINS 'end'
RETURN avg(m.votes) AS average_votes
```",False,False,True,False
List the names of people who acted in movies with more than 1000 votes and released before 2000.,movies,"<explanation>
This query finds all people who acted in movies released before the year 2000 with more than 1000 votes.
1. **MATCH** the `ACTED_IN` relationship between `Person` and `Movie` nodes.
2. **WHERE** clause filters for `Movie` nodes released before 2000 and having more than 1000 votes.
3. **RETURN** the `name` property of the `Person` nodes.
</explanation>
```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE m.released < 2000 AND m.votes > 1000
RETURN DISTINCT p.name
```",Complex Aggregation Queries,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE m.released < 2000 AND m.votes > 1000
RETURN DISTINCT p.name","This query finds all people who acted in movies released before the year 2000 with more than 1000 votes.
1. **MATCH** the `ACTED_IN` relationship between `Person` and `Movie` nodes.
2. **WHERE** clause filters for `Movie` nodes released before 2000 and having more than 1000 votes.
3. **RETURN** the `name` property of the `Person` nodes.",False,False,True,False
"Which person produced ""Speed Racer""?",movies,"<explanation>This query starts with finding the movie with the title ""Speed Racer"". Then, it traverses the `PRODUCED` relationship backwards to find the person who produced that movie. Finally, it returns the `name` property of that person.
</explanation>
```cypher
MATCH (m:Movie {title: ""Speed Racer""})<-[:PRODUCED]-(p:Person)
RETURN p.name
```",Complex Aggregation Queries,"MATCH (m:Movie {title: ""Speed Racer""})<-[:PRODUCED]-(p:Person)
RETURN p.name","This query starts with finding the movie with the title ""Speed Racer"". Then, it traverses the `PRODUCED` relationship backwards to find the person who produced that movie. Finally, it returns the `name` property of that person.",False,False,True,False
What are the taglines of movies with a rating greater than 80 and released after 1995?,movies,"<explanation>
This query first finds all the movies that have been rated above 80. It then filters those movies by release year (after 1995). Finally, the query returns the taglines of the remaining movies.

1. **MATCH (p:Person)-[r:REVIEWED]->(m:Movie)**: This matches all movies that have been reviewed by a person.
2. **WHERE r.rating > 80 AND m.released > 1995**: This filters the movies to those released after 1995 and rated above 80.
3. **RETURN m.tagline**: This returns the taglines of the filtered movies.

```cypher
MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE r.rating > 80 AND m.released > 1995
RETURN m.tagline
```
</explanation>",Complex Aggregation Queries,"MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE r.rating > 80 AND m.released > 1995
RETURN m.tagline","This query first finds all the movies that have been rated above 80. It then filters those movies by release year (after 1995). Finally, the query returns the taglines of the remaining movies.

1. **MATCH (p:Person)-[r:REVIEWED]->(m:Movie)**: This matches all movies that have been reviewed by a person.
2. **WHERE r.rating > 80 AND m.released > 1995**: This filters the movies to those released after 1995 and rated above 80.
3. **RETURN m.tagline**: This returns the taglines of the filtered movies.

```cypher
MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE r.rating > 80 AND m.released > 1995
RETURN m.tagline
```",False,False,True,False
"Find the titles of movies reviewed with the summary ""An amazing journey"".",movies,"<explanation>This query starts by finding all :REVIEWED relationships with a `summary` property equal to ""An amazing journey.""  Then, it returns the `title` property of all :Movie nodes that are connected to these relationships.
</explanation>
```cypher
MATCH ()-[:REVIEWED {summary: ""An amazing journey""}]->(m:Movie)
RETURN m.title
```",Complex Aggregation Queries,"MATCH ()-[:REVIEWED {summary: ""An amazing journey""}]->(m:Movie)
RETURN m.title","This query starts by finding all :REVIEWED relationships with a `summary` property equal to ""An amazing journey.""  Then, it returns the `title` property of all :Movie nodes that are connected to these relationships.",False,False,True,False
List the roles of actors in movies directed by someone born before 1960.,movies,"<explanation>
1. **MATCH** the pattern of a person directing a movie with `(p:Person)-[:DIRECTED]->(m:Movie)`
2. **WHERE** the director's birth year (`p.born`) is before 1960
3. **MATCH** the pattern of an actor acting in the same movie with `(a:Person)-[:ACTED_IN]->(m)`
4. **RETURN** the actor's name (`a.name`) and their roles (`r.roles`)
</explanation>
```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1960
MATCH (a:Person)-[:ACTED_IN]->(m)
RETURN a.name, a.roles
```",Complex Aggregation Queries,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1960
MATCH (a:Person)-[:ACTED_IN]->(m)
RETURN a.name, a.roles","1. **MATCH** the pattern of a person directing a movie with `(p:Person)-[:DIRECTED]->(m:Movie)`
2. **WHERE** the director's birth year (`p.born`) is before 1960
3. **MATCH** the pattern of an actor acting in the same movie with `(a:Person)-[:ACTED_IN]->(m)`
4. **RETURN** the actor's name (`a.name`) and their roles (`r.roles`)",False,False,True,False
Which person wrote a movie released before 1990 and with more than 500 votes?,movies,"<explanation>
1. **MATCH** the relevant nodes and relationships: We need to find a `Person` who `WROTE` a `Movie`.
2. **WHERE** clause to filter the movies: The movie should have `released` property less than 1990 and `votes` property greater than 500.
3. **RETURN** the `name` of the `Person`. 

```cypher
MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE m.released < 1990 AND m.votes > 500
RETURN p.name
```
</explanation>",Complex Aggregation Queries,"MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE m.released < 1990 AND m.votes > 500
RETURN p.name","1. **MATCH** the relevant nodes and relationships: We need to find a `Person` who `WROTE` a `Movie`.
2. **WHERE** clause to filter the movies: The movie should have `released` property less than 1990 and `votes` property greater than 500.
3. **RETURN** the `name` of the `Person`. 

```cypher
MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE m.released < 1990 AND m.votes > 500
RETURN p.name
```",False,False,True,False
"What is the average rating of movies with a tagline containing ""limits""?",movies,"<explanation>
1. We need to find movies that contain ""limits"" in their tagline.
2. We will then calculate the average rating of those movies using the `avg` function.

```cypher
MATCH (m:Movie)
WHERE m.tagline CONTAINS 'limits'
WITH avg(m.rating) AS average_rating
RETURN average_rating
```
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.tagline CONTAINS 'limits'
WITH avg(m.rating) AS average_rating
RETURN average_rating
```",Complex Aggregation Queries,"MATCH (m:Movie)
WHERE m.tagline CONTAINS 'limits'
WITH avg(m.rating) AS average_rating
RETURN average_rating","1. We need to find movies that contain ""limits"" in their tagline.
2. We will then calculate the average rating of those movies using the `avg` function.

```cypher
MATCH (m:Movie)
WHERE m.tagline CONTAINS 'limits'
WITH avg(m.rating) AS average_rating
RETURN average_rating
```",False,False,True,False
List the taglines of movies acted in by someone born after 1965.,movies,"<explanation>
This query first finds all people born after 1965. Then, it matches those people to movies they have ACTED_IN. Finally, it returns the distinct taglines of those movies. 
</explanation>
```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE p.born > 1965
RETURN DISTINCT m.tagline
```",Complex Aggregation Queries,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE p.born > 1965
RETURN DISTINCT m.tagline","This query first finds all people born after 1965. Then, it matches those people to movies they have ACTED_IN. Finally, it returns the distinct taglines of those movies.",False,False,True,False
What are the roles of actors in movies with less than 500 votes?,movies,"<explanation>
This Cypher query identifies movies with less than 500 votes and returns the titles of those movies along with the actors and their respective roles.

1. **MATCH Clause**: We start by matching two nodes: `(m:Movie)` and `(p:Person)`. These nodes are connected by the relationship `ACTED_IN`.
2. **WHERE Clause**: We filter the movies based on the number of votes using `m.votes < 500`.
3. **RETURN Clause**: We return the following:
   - `m.title` as `movieTitle`: The title of the movie.
   - `p.name` as `actorName`: The name of the actor.
   - `r.roles` as `roles`: The roles played by the actor in the movie.

This query effectively retrieves the desired information by first finding all movies with less than 500 votes and then traversing the `ACTED_IN` relationship to get the actors and their roles in those movies.
</explanation>
```cypher
MATCH (m:Movie)<-[r:ACTED_IN]-(p:Person)
WHERE m.votes < 500
RETURN m.title AS movieTitle, p.name AS actorName, r.roles AS roles
```",Complex Aggregation Queries,"MATCH (m:Movie)<-[r:ACTED_IN]-(p:Person)
WHERE m.votes < 500
RETURN m.title AS movieTitle, p.name AS actorName, r.roles AS roles","This Cypher query identifies movies with less than 500 votes and returns the titles of those movies along with the actors and their respective roles.

1. **MATCH Clause**: We start by matching two nodes: `(m:Movie)` and `(p:Person)`. These nodes are connected by the relationship `ACTED_IN`.
2. **WHERE Clause**: We filter the movies based on the number of votes using `m.votes < 500`.
3. **RETURN Clause**: We return the following:
   - `m.title` as `movieTitle`: The title of the movie.
   - `p.name` as `actorName`: The name of the actor.
   - `r.roles` as `roles`: The roles played by the actor in the movie.

This query effectively retrieves the desired information by first finding all movies with less than 500 votes and then traversing the `ACTED_IN` relationship to get the actors and their roles in those movies.",False,False,True,False
Which person directed a movie with a rating less than 60?,movies,"<explanation>
This query starts by matching all `Person` nodes that have a `DIRECTED` relationship with a `Movie` node. The `WHERE` clause then filters for `Movie` nodes that have a `rating` property less than 60 on the `REVIEWED` relationship. Finally, the query returns the `name` of the `Person` nodes who directed those movies.
</explanation>
```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[r:REVIEWED]-()
WHERE r.rating < 60
RETURN p.name
```",Complex Aggregation Queries,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[r:REVIEWED]-()
WHERE r.rating < 60
RETURN p.name","This query starts by matching all `Person` nodes that have a `DIRECTED` relationship with a `Movie` node. The `WHERE` clause then filters for `Movie` nodes that have a `rating` property less than 60 on the `REVIEWED` relationship. Finally, the query returns the `name` of the `Person` nodes who directed those movies.",False,False,True,False
Find the titles of movies with a released year before 1990.,movies,"<explanation>
This query looks for all movies with a `released` property less than 1990 and returns their titles.

1. **MATCH Clause:** We start by matching all `Movie` nodes.
2. **WHERE Clause:** We filter these movies to only include those released before 1990. 
3. **RETURN Clause:** We return the `title` property of the movies that meet our criteria. 

</explanation>
```cypher
MATCH (m:Movie)
WHERE m.released < 1990
RETURN m.title
```",Complex Aggregation Queries,"MATCH (m:Movie)
WHERE m.released < 1990
RETURN m.title","This query looks for all movies with a `released` property less than 1990 and returns their titles.

1. **MATCH Clause:** We start by matching all `Movie` nodes.
2. **WHERE Clause:** We filter these movies to only include those released before 1990. 
3. **RETURN Clause:** We return the `title` property of the movies that meet our criteria.",False,False,True,False
List the names of people born before 1960 who acted in a movie with a rating greater than 90.,movies,"<explanation>
This query starts by finding all people born before 1960. Then it traverses the ACTED_IN relationships to movies. For each of these movies, it checks if there's a REVIEWED relationship with a rating property greater than 90. Finally, it returns the distinct names of the people who meet these criteria. 

Here's a breakdown of the query:

1. **MATCH (p:Person)-[:ACTED_IN]->(m:Movie)<-[r:REVIEWED]-()**: This matches people who acted in movies that have been reviewed.
2. **WHERE p.born < 1960 AND r.rating > 90**: This filters for people born before 1960 and movies with a rating greater than 90.
3. **RETURN DISTINCT p.name**: This returns the unique names of the people who meet the criteria.
</explanation>
```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)<-[r:REVIEWED]-()
WHERE p.born < 1960 AND r.rating > 90
RETURN DISTINCT p.name
```",Complex Aggregation Queries,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie)<-[r:REVIEWED]-()
WHERE p.born < 1960 AND r.rating > 90
RETURN DISTINCT p.name","This query starts by finding all people born before 1960. Then it traverses the ACTED_IN relationships to movies. For each of these movies, it checks if there's a REVIEWED relationship with a rating property greater than 90. Finally, it returns the distinct names of the people who meet these criteria. 

Here's a breakdown of the query:

1. **MATCH (p:Person)-[:ACTED_IN]->(m:Movie)<-[r:REVIEWED]-()**: This matches people who acted in movies that have been reviewed.
2. **WHERE p.born < 1960 AND r.rating > 90**: This filters for people born before 1960 and movies with a rating greater than 90.
3. **RETURN DISTINCT p.name**: This returns the unique names of the people who meet the criteria.",False,False,True,False
"Which person produced a movie with ""Matrix"" in the title and was born after 1950?",movies,"<explanation>
This query starts by finding movies with ""Matrix"" in the title. Then, it traverses the PRODUCED relationships from those movies to find the people who produced them. Finally, it filters these people based on their birth year being after 1950.
</explanation>
```cypher
MATCH (m:Movie)<-[:PRODUCED]-(p:Person)
WHERE m.title CONTAINS 'Matrix' AND p.born > 1950
RETURN p.name
```",Complex Aggregation Queries,"MATCH (m:Movie)<-[:PRODUCED]-(p:Person)
WHERE m.title CONTAINS 'Matrix' AND p.born > 1950
RETURN p.name","This query starts by finding movies with ""Matrix"" in the title. Then, it traverses the PRODUCED relationships from those movies to find the people who produced them. Finally, it filters these people based on their birth year being after 1950.",False,False,True,False
What is the average rating of movies released in the year 2003?,movies,"<explanation>
1. **Find movies released in 2003:** We start by matching all `Movie` nodes with the `released` property equal to 2003.
2. **Match reviewed relationships:** We then traverse the `REVIEWED` relationships originating from any `Person` nodes to these movies.
3. **Calculate the average rating:** We use the `avg` aggregation function on the `rating` property of the `REVIEWED` relationships to calculate the average rating.

This query efficiently leverages relationships and properties within the graph to pinpoint the average rating of movies released in 2003.
</explanation>
```cypher
MATCH (m:Movie {released: 2003})<-[r:REVIEWED]-()
RETURN avg(r.rating) AS average_rating
```",Complex Aggregation Queries,"MATCH (m:Movie {released: 2003})<-[r:REVIEWED]-()
RETURN avg(r.rating) AS average_rating","1. **Find movies released in 2003:** We start by matching all `Movie` nodes with the `released` property equal to 2003.
2. **Match reviewed relationships:** We then traverse the `REVIEWED` relationships originating from any `Person` nodes to these movies.
3. **Calculate the average rating:** We use the `avg` aggregation function on the `rating` property of the `REVIEWED` relationships to calculate the average rating.

This query efficiently leverages relationships and properties within the graph to pinpoint the average rating of movies released in 2003.",False,False,True,False
"Which movies have a tagline containing ""beginning""?",movies,"<explanation>This query looks for all movies that contain the word ""beginning"" in their tagline. 

1. **MATCH**: We start by matching all Movie nodes.
2. **WHERE**: We filter the movies to only include those whose tagline contains ""beginning"".
3. **RETURN**: We return the titles of the movies that meet this criteria.

</explanation>
```cypher
MATCH (m:Movie)
WHERE m.tagline CONTAINS 'beginning'
RETURN m.title
```",Complex Aggregation Queries,"MATCH (m:Movie)
WHERE m.tagline CONTAINS 'beginning'
RETURN m.title","This query looks for all movies that contain the word ""beginning"" in their tagline. 

1. **MATCH**: We start by matching all Movie nodes.
2. **WHERE**: We filter the movies to only include those whose tagline contains ""beginning"".
3. **RETURN**: We return the titles of the movies that meet this criteria.",False,False,True,False
"List the roles of Laurence Fishburne in ""The Matrix Revolutions"".",movies,"<explanation>
This query starts with finding the movie with the title ""The Matrix Revolutions"". Then, it traverses the ACTED_IN relationship to find the person named ""Laurence Fishburne"". Finally, it returns the roles associated with that ACTED_IN relationship. 

1. **MATCH (m:Movie {title: ""The Matrix Revolutions""})**: This part of the query finds the movie node with the title ""The Matrix Revolutions"".
2. **MATCH (p:Person {name: ""Laurence Fishburne""})-[:ACTED_IN]->(m)**: This part finds the person node with the name ""Laurence Fishburne"" who has an outgoing ACTED_IN relationship to the movie node (m) found in the previous step. 
3. **RETURN p.roles**: This part returns the `roles` property of the ACTED_IN relationship, which represents the roles played by Laurence Fishburne in ""The Matrix Revolutions"".
</explanation>
```cypher
MATCH (m:Movie {title: ""The Matrix Revolutions""})
MATCH (p:Person {name: ""Laurence Fishburne""})-[:ACTED_IN]->(m)
RETURN p.roles
```",Complex Aggregation Queries,"MATCH (m:Movie {title: ""The Matrix Revolutions""})
MATCH (p:Person {name: ""Laurence Fishburne""})-[:ACTED_IN]->(m)
RETURN p.roles","This query starts with finding the movie with the title ""The Matrix Revolutions"". Then, it traverses the ACTED_IN relationship to find the person named ""Laurence Fishburne"". Finally, it returns the roles associated with that ACTED_IN relationship. 

1. **MATCH (m:Movie {title: ""The Matrix Revolutions""})**: This part of the query finds the movie node with the title ""The Matrix Revolutions"".
2. **MATCH (p:Person {name: ""Laurence Fishburne""})-[:ACTED_IN]->(m)**: This part finds the person node with the name ""Laurence Fishburne"" who has an outgoing ACTED_IN relationship to the movie node (m) found in the previous step. 
3. **RETURN p.roles**: This part returns the `roles` property of the ACTED_IN relationship, which represents the roles played by Laurence Fishburne in ""The Matrix Revolutions"".",False,False,True,False
"What is the release year of ""Speed Racer""?",movies,"<explanation>
This query first matches the movie with the title ""Speed Racer."" Then, it returns the `released` property of that movie. 
<br/>
```cypher
MATCH (m:Movie {title: ""Speed Racer""})
RETURN m.released
```
",Complex Aggregation Queries,"MATCH (m:Movie {title: ""Speed Racer""})
RETURN m.released",,False,False,True,False
"Find the number of votes for ""The Matrix Revolutions"".",movies,"<explanation>
This query looks for a Movie node with the title ""The Matrix Revolutions"" and returns the number of votes it has. 

1. **MATCH (m:Movie)** - This line searches for all nodes with the label ""Movie"" and assigns them the variable `m`.
2. **WHERE m.title = ""The Matrix Revolutions""** - This line filters the results from the previous line, keeping only the Movie nodes whose title property is ""The Matrix Revolutions"".
3. **RETURN m.votes** - This line returns the value of the votes property for the Movie node that matched the criteria.

</explanation>
```cypher
MATCH (m:Movie)
WHERE m.title = ""The Matrix Revolutions""
RETURN m.votes
```",Complex Aggregation Queries,"MATCH (m:Movie)
WHERE m.title = ""The Matrix Revolutions""
RETURN m.votes","This query looks for a Movie node with the title ""The Matrix Revolutions"" and returns the number of votes it has. 

1. **MATCH (m:Movie)** - This line searches for all nodes with the label ""Movie"" and assigns them the variable `m`.
2. **WHERE m.title = ""The Matrix Revolutions""** - This line filters the results from the previous line, keeping only the Movie nodes whose title property is ""The Matrix Revolutions"".
3. **RETURN m.votes** - This line returns the value of the votes property for the Movie node that matched the criteria.",False,False,True,False
Which person was born in 1952?,movies,"<explanation>This query starts with all nodes with the label 'Person' and then filters them by those with the property 'born' equal to 1952. Finally, the query returns the 'name' property of these filtered nodes. </explanation>
```cypher
MATCH (p:Person {born: 1952})
RETURN p.name
```",Complex Aggregation Queries,"MATCH (p:Person {born: 1952})
RETURN p.name","This query starts with all nodes with the label 'Person' and then filters them by those with the property 'born' equal to 1952. Finally, the query returns the 'name' property of these filtered nodes.",False,False,True,False
"List the names of people who acted in movies with a tagline containing ""Speed"".",movies,"<explanation>
1. **Find movies with ""Speed"" in the tagline:** 
   - Start with `(m:Movie)` to look at all movie nodes.
   - Filter these movies using `WHERE m.tagline CONTAINS ""Speed""` to only keep those with ""Speed"" in their tagline.
2. **Find people who acted in those movies:**
   - From the filtered movies, traverse the `ACTED_IN` relationship backwards using `(p:Person)-[:ACTED_IN]->(m)`. This will give us the (p:Person) nodes we're looking for.
3. **Return the names of the actors:**
   - Finally `RETURN p.name` to output the names of the found people.

```cypher
MATCH (m:Movie)
WHERE m.tagline CONTAINS ""Speed""
MATCH (p:Person)-[:ACTED_IN]->(m)
RETURN p.name
```
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.tagline CONTAINS ""Speed""
MATCH (p:Person)-[:ACTED_IN]->(m)
RETURN p.name
```
",Complex Aggregation Queries,"MATCH (m:Movie)
WHERE m.tagline CONTAINS ""Speed""
MATCH (p:Person)-[:ACTED_IN]->(m)
RETURN p.name","1. **Find movies with ""Speed"" in the tagline:** 
   - Start with `(m:Movie)` to look at all movie nodes.
   - Filter these movies using `WHERE m.tagline CONTAINS ""Speed""` to only keep those with ""Speed"" in their tagline.
2. **Find people who acted in those movies:**
   - From the filtered movies, traverse the `ACTED_IN` relationship backwards using `(p:Person)-[:ACTED_IN]->(m)`. This will give us the (p:Person) nodes we're looking for.
3. **Return the names of the actors:**
   - Finally `RETURN p.name` to output the names of the found people.

```cypher
MATCH (m:Movie)
WHERE m.tagline CONTAINS ""Speed""
MATCH (p:Person)-[:ACTED_IN]->(m)
RETURN p.name
```",False,False,True,False
