question,type,database
"Who acted in movies released in the same year as ""Something's Gotta Give""?",Multi-step Queries,movies
"What are the ratings given for movies with the tagline ""Speed has no limits""?",Multi-step Queries,movies
"Find the names of people who directed movies reviewed with ""Silly, but fun"".",Multi-step Queries,movies
"List the titles of movies with ""A solid romp"" reviews released after 2000.",Multi-step Queries,movies
"Who wrote movies with ""Pretty funny at times"" reviews and released before 2010?",Multi-step Queries,movies
"What are the release years of movies with ""Fun, but a little far fetched"" reviews and more than 1000 votes?",Multi-step Queries,movies
Find the taglines of movies acted in by people born before 1960 and released after 1990.,Multi-step Queries,movies
"Which movies directed by people born after 1960 have ""Dark, but compelling"" reviews?",Multi-step Queries,movies
"Who reviewed movies with taglines containing the word ""Matrix""?",Multi-step Queries,movies
What are the summaries of reviews for movies produced by people born after 1950?,Multi-step Queries,movies
Find the names of people who acted in and wrote the same movie.,Multi-step Queries,movies
"Which movies with ""The coolest football movie ever"" reviews have more than 500 votes?",Multi-step Queries,movies
"Who directed movies with ""You had me at Jerry"" reviews released before 2005?",Multi-step Queries,movies
"What are the taglines of movies with ""An amazing journey"" reviews and directed by people born after 1965?",Multi-step Queries,movies
Find the names of people who wrote movies released before 2000 with ratings between 85 and 100.,Multi-step Queries,movies
"Which movies produced by people born between 1945 and 1955 have ""Silly, but fun"" reviews?",Multi-step Queries,movies
Who acted in movies released in the same year as a movie directed by Lana Wachowski?,Multi-step Queries,movies
"What are the ratings given for movies with taglines containing the word ""Speed""?",Multi-step Queries,movies
"Find the names of people who directed movies reviewed with ""A solid romp"".",Multi-step Queries,movies
"List the titles of movies with ""Pretty funny at times"" reviews released after 1990.",Multi-step Queries,movies
"Who wrote movies with ""Fun, but a little far fetched"" reviews and released before 2010?",Multi-step Queries,movies
"What are the release years of movies with ""Dark, but compelling"" reviews and more than 2000 votes?",Multi-step Queries,movies
Find the taglines of movies acted in by Keanu Reeves and directed by Lana Wachowski.,Multi-step Queries,movies
"Which movies directed by people born before 1960 have ""The coolest football movie ever"" reviews?",Multi-step Queries,movies
Who reviewed movies produced by Joel Silver and released before 2005?,Multi-step Queries,movies
"What are the summaries of reviews for movies with taglines containing the word ""Welcome""?",Multi-step Queries,movies
Find the names of people who produced and directed movies released after 2000.,Multi-step Queries,movies
"Which movies with ""You had me at Jerry"" reviews have more than 1000 votes and were released before 2005?",Multi-step Queries,movies
"Who directed movies with ""An amazing journey"" reviews released after 2000?",Multi-step Queries,movies
"What are the taglines of movies with ""Silly, but fun"" reviews and directed by people born before 1960?",Multi-step Queries,movies
Find the names of people who wrote movies released after 1995 with ratings between 90 and 100.,Multi-step Queries,movies
"Which movies produced by people born after 1955 have ""A solid romp"" reviews and more than 500 votes?",Multi-step Queries,movies
Who acted in movies directed by Lana Wachowski and released before 2005?,Multi-step Queries,movies
"What are the ratings given for movies with taglines containing the word ""Real"" and released after 1990?",Multi-step Queries,movies
