question,database,output,type,cypher,explanation
"Which person acted in ""The Matrix Revolutions"" and was born before 1970?",movies,"<explanation>
This Cypher query first finds the movie with the title ""The Matrix Revolutions."" Then, it matches any person who acted in that movie. Finally, it filters down to only the people who were born before 1970.
</explanation>
```cypher
MATCH (m:Movie {title: ""The Matrix Revolutions""})<-[:ACTED_IN]-(p:Person)
WHERE p.born < 1970
RETURN p
```",Complex Aggregation Queries,"MATCH (m:Movie {title: ""The Matrix Revolutions""})<-[:ACTED_IN]-(p:Person)
WHERE p.born < 1970
RETURN p","This Cypher query first finds the movie with the title ""The Matrix Revolutions."" Then, it matches any person who acted in that movie. Finally, it filters down to only the people who were born before 1970."
"What is the average rating of movies with ""Matrix"" in the title?",movies,"<explanation>
1. **Match movies with ""Matrix"" in the title:** 
   - We'll use `MATCH` to find all movies where the title contains ""Matrix"".
2. **Match the `REVIEWED` relationships for those movies:**
   - We'll extend our `MATCH` to find all `REVIEWED` relationships connected to the movies found in the previous step.
3. **Calculate the average rating:**
   - We'll use `avg()` function to calculate the average of the `rating` property of the `REVIEWED` relationships.
4. **Return the average rating:**
   - We'll use `RETURN` to return the calculated average rating.

```cypher
MATCH (m:Movie)
WHERE m.title CONTAINS 'Matrix'
WITH avg(r.rating) AS average_rating
RETURN average_rating
```
</explanation>",Complex Aggregation Queries,"MATCH (m:Movie)
WHERE m.title CONTAINS 'Matrix'
WITH avg(r.rating) AS average_rating
RETURN average_rating","1. **Match movies with ""Matrix"" in the title:** 
   - We'll use `MATCH` to find all movies where the title contains ""Matrix"".
2. **Match the `REVIEWED` relationships for those movies:**
   - We'll extend our `MATCH` to find all `REVIEWED` relationships connected to the movies found in the previous step.
3. **Calculate the average rating:**
   - We'll use `avg()` function to calculate the average of the `rating` property of the `REVIEWED` relationships.
4. **Return the average rating:**
   - We'll use `RETURN` to return the calculated average rating.

```cypher
MATCH (m:Movie)
WHERE m.title CONTAINS 'Matrix'
WITH avg(r.rating) AS average_rating
RETURN average_rating
```"
"Find the names of people who follow someone who acted in ""The Matrix Revolutions"".",movies,"<explanation>
1. **Match the movie:** We start by finding the movie with the title ""The Matrix Revolutions.""
2. **Find the followers of those who acted in the movie:** We then traverse the ACTED_IN relationship backward to find the people who acted in the movie.  We then traverse the FOLLOWS relationship to find the people who follow those actors.
3. **Return the names:** Finally, we return the distinct names of those followers.
</explanation>
```cypher
MATCH (m:Movie {title: ""The Matrix Revolutions""})<-[:ACTED_IN]-(a:Person)<-[:FOLLOWS]-(f:Person)
RETURN DISTINCT f.name
```",Complex Aggregation Queries,"MATCH (m:Movie {title: ""The Matrix Revolutions""})<-[:ACTED_IN]-(a:Person)<-[:FOLLOWS]-(f:Person)
RETURN DISTINCT f.name","1. **Match the movie:** We start by finding the movie with the title ""The Matrix Revolutions.""
2. **Find the followers of those who acted in the movie:** We then traverse the ACTED_IN relationship backward to find the people who acted in the movie.  We then traverse the FOLLOWS relationship to find the people who follow those actors.
3. **Return the names:** Finally, we return the distinct names of those followers."
"Which movies have ""The"" in their title and were released before 2000?",movies,"<explanation>
This query looks for movies with ""The"" in the title released before 2000.

1. **MATCH**: We start by finding all `Movie` nodes.
2. **WHERE**: We filter these movies based on two criteria:
    - The movie title contains ""The"" (using the `CONTAINS` operator for case-insensitive search).
    - The movie's release year is before 2000.
3. **RETURN**: We return the titles of the movies that meet these conditions. 

</explanation>
```cypher
MATCH (m:Movie)
WHERE m.title CONTAINS ""The"" AND m.released < 2000
RETURN m.title
```",Complex Aggregation Queries,"MATCH (m:Movie)
WHERE m.title CONTAINS ""The"" AND m.released < 2000
RETURN m.title","This query looks for movies with ""The"" in the title released before 2000.

1. **MATCH**: We start by finding all `Movie` nodes.
2. **WHERE**: We filter these movies based on two criteria:
    - The movie title contains ""The"" (using the `CONTAINS` operator for case-insensitive search).
    - The movie's release year is before 2000.
3. **RETURN**: We return the titles of the movies that meet these conditions."
List the taglines of movies with more than 1000 votes and released after 1995.,movies,"<explanation>
This query looks for movies (nodes with label `Movie`) with more than 1000 votes and released after 1995, and then returns their taglines.

1. **MATCH Clause**: We start by matching all `Movie` nodes.
2. **WHERE Clause**: We filter these movies based on the criteria: `votes` greater than 1000 and `released` greater than 1995.
3. **RETURN Clause**: We return the `tagline` property of the filtered movies.

</explanation>
```cypher
MATCH (m:Movie)
WHERE m.votes > 1000 AND m.released > 1995
RETURN m.tagline
```",Complex Aggregation Queries,"MATCH (m:Movie)
WHERE m.votes > 1000 AND m.released > 1995
RETURN m.tagline","This query looks for movies (nodes with label `Movie`) with more than 1000 votes and released after 1995, and then returns their taglines.

1. **MATCH Clause**: We start by matching all `Movie` nodes.
2. **WHERE Clause**: We filter these movies based on the criteria: `votes` greater than 1000 and `released` greater than 1995.
3. **RETURN Clause**: We return the `tagline` property of the filtered movies."
What are the roles of actors in movies with a rating greater than 95?,movies,"<explanation>
This query starts by matching all relationships of type `REVIEWED` connected to `Person` and `Movie` nodes. It filters these relationships based on the `rating` property being greater than 95. Finally, it returns the `roles` property from the `ACTED_IN` relationship connected to the previously matched movies and people. 

1. **MATCH (person:Person)-[r:REVIEWED]->(movie:Movie)** - This part of the query finds all relationships of type `REVIEWED` that exist between nodes labeled `Person` and `Movie`.
2. **WHERE r.rating > 95** - This line filters the matched relationships to only include those where the `rating` property is greater than 95.
3. **WITH person, movie** - This clause carries over the `person` and `movie` variables for use in the subsequent part of the query.
4. **MATCH (person)-[acted:ACTED_IN]->(movie)** - This line matches relationships of type `ACTED_IN` that exist between the previously matched `person` and `movie` nodes.
5. **RETURN acted.roles** - This line returns the `roles` property from the `ACTED_IN` relationships, which represent the roles of the actors in those movies.

This query effectively identifies highly-rated movies and then returns the roles played by actors in those movies.
</explanation>
```cypher
MATCH (person:Person)-[r:REVIEWED]->(movie:Movie)
WHERE r.rating > 95
WITH person, movie
MATCH (person)-[acted:ACTED_IN]->(movie)
RETURN acted.roles
```",Complex Aggregation Queries,"MATCH (person:Person)-[r:REVIEWED]->(movie:Movie)
WHERE r.rating > 95
WITH person, movie
MATCH (person)-[acted:ACTED_IN]->(movie)
RETURN acted.roles","This query starts by matching all relationships of type `REVIEWED` connected to `Person` and `Movie` nodes. It filters these relationships based on the `rating` property being greater than 95. Finally, it returns the `roles` property from the `ACTED_IN` relationship connected to the previously matched movies and people. 

1. **MATCH (person:Person)-[r:REVIEWED]->(movie:Movie)** - This part of the query finds all relationships of type `REVIEWED` that exist between nodes labeled `Person` and `Movie`.
2. **WHERE r.rating > 95** - This line filters the matched relationships to only include those where the `rating` property is greater than 95.
3. **WITH person, movie** - This clause carries over the `person` and `movie` variables for use in the subsequent part of the query.
4. **MATCH (person)-[acted:ACTED_IN]->(movie)** - This line matches relationships of type `ACTED_IN` that exist between the previously matched `person` and `movie` nodes.
5. **RETURN acted.roles** - This line returns the `roles` property from the `ACTED_IN` relationships, which represent the roles of the actors in those movies.

This query effectively identifies highly-rated movies and then returns the roles played by actors in those movies."
Which person directed movies with a total vote count less than 500?,movies,"<explanation>
1. **MATCH** all people who directed movies.
2. **WITH** the person and the sum of votes for all their directed movies.
3. **WHERE** the sum of votes is less than 500.
4. **RETURN** the name of the person.

```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WITH p, sum(m.votes) AS totalVotes
WHERE totalVotes < 500
RETURN p.name
```
</explanation>",Complex Aggregation Queries,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WITH p, sum(m.votes) AS totalVotes
WHERE totalVotes < 500
RETURN p.name","1. **MATCH** all people who directed movies.
2. **WITH** the person and the sum of votes for all their directed movies.
3. **WHERE** the sum of votes is less than 500.
4. **RETURN** the name of the person.

```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WITH p, sum(m.votes) AS totalVotes
WHERE totalVotes < 500
RETURN p.name
```"
Find the titles of movies released between 1990 and 2010 with a rating above 85.,movies,"<explanation>
This Cypher query first matches all `Movie` nodes. Then it filters these nodes to only include movies released between 1990 and 2010 and have a `rating` property on their incoming `REVIEWED` relationships greater than 85. Finally, the query returns the `title` property of these filtered `Movie` nodes. 
</explanation>
```cypher
MATCH (m:Movie)<-[r:REVIEWED]-()
WHERE m.released BETWEEN 1990 AND 2010 AND r.rating > 85
RETURN m.title
```",Complex Aggregation Queries,"MATCH (m:Movie)<-[r:REVIEWED]-()
WHERE m.released BETWEEN 1990 AND 2010 AND r.rating > 85
RETURN m.title","This Cypher query first matches all `Movie` nodes. Then it filters these nodes to only include movies released between 1990 and 2010 and have a `rating` property on their incoming `REVIEWED` relationships greater than 85. Finally, the query returns the `title` property of these filtered `Movie` nodes."
List the summaries of reviews with a rating less than 70.,movies,"<explanation>
This query looks for all `REVIEWED` relationships with a rating property less than 70 and returns the summary of those reviews. 

1. **MATCH Clause:** We use `MATCH (p:Person)-[r:REVIEWED]->(m:Movie)` to find all relationships of type `REVIEWED` between nodes of type `Person` and `Movie`. Although we don't need the `Person` or `Movie` information to answer the question, we need to match on these nodes to traverse the `REVIEWED` relationships in the graph.
2. **WHERE Clause:** We use `WHERE r.rating < 70` to filter for `REVIEWED` relationships with a `rating` property less than 70.
3. **RETURN Clause:** We use `RETURN r.summary` to return the `summary` property of the `REVIEWED` relationships that met the filter criteria.

</explanation>
```cypher
MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE r.rating < 70
RETURN r.summary
```",Complex Aggregation Queries,"MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE r.rating < 70
RETURN r.summary","This query looks for all `REVIEWED` relationships with a rating property less than 70 and returns the summary of those reviews. 

1. **MATCH Clause:** We use `MATCH (p:Person)-[r:REVIEWED]->(m:Movie)` to find all relationships of type `REVIEWED` between nodes of type `Person` and `Movie`. Although we don't need the `Person` or `Movie` information to answer the question, we need to match on these nodes to traverse the `REVIEWED` relationships in the graph.
2. **WHERE Clause:** We use `WHERE r.rating < 70` to filter for `REVIEWED` relationships with a `rating` property less than 70.
3. **RETURN Clause:** We use `RETURN r.summary` to return the `summary` property of the `REVIEWED` relationships that met the filter criteria."
"What are the names of people who were born after 1960 and acted in a movie with ""The"" in the title?",movies,"<explanation>
This query starts by finding all people born after 1960. Then it matches those people to movies they acted in where the movie title contains ""The"". Finally, it returns the names of the people.
</explanation>
```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE p.born > 1960 AND m.title CONTAINS 'The'
RETURN DISTINCT p.name
```",Complex Aggregation Queries,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE p.born > 1960 AND m.title CONTAINS 'The'
RETURN DISTINCT p.name","This query starts by finding all people born after 1960. Then it matches those people to movies they acted in where the movie title contains ""The"". Finally, it returns the names of the people."
Which person produced the movie with the lowest number of votes?,movies,"<explanation>
1. We need to find the movie with the lowest number of votes.
2. Then we need to find the person who produced that movie.

We can achieve this with the following steps:
1. Find all movies and order them by the number of votes in ascending order (`ORDER BY m.votes ASC`).
2. Use `LIMIT 1` to get the movie with the lowest number of votes.
3. Match the person who produced that movie (`WHERE p.name = PRODUCED(m)`).
4. Return the name of the person.
</explanation>
```cypher
MATCH (m:Movie)
WITH m ORDER BY m.votes ASC
LIMIT 1
MATCH (p:Person)-[:PRODUCED]->(m)
RETURN p.name
```",Complex Aggregation Queries,"MATCH (m:Movie)
WITH m ORDER BY m.votes ASC
LIMIT 1
MATCH (p:Person)-[:PRODUCED]->(m)
RETURN p.name","1. We need to find the movie with the lowest number of votes.
2. Then we need to find the person who produced that movie.

We can achieve this with the following steps:
1. Find all movies and order them by the number of votes in ascending order (`ORDER BY m.votes ASC`).
2. Use `LIMIT 1` to get the movie with the lowest number of votes.
3. Match the person who produced that movie (`WHERE p.name = PRODUCED(m)`).
4. Return the name of the person."
"Find the titles of movies with a tagline containing ""Welcome"".",movies,"<explanation>
This query searches for all movies with the word ""Welcome"" in the tagline. 

1. **MATCH** clause finds all `Movie` nodes.
2. **WHERE** clause filters for `Movie` nodes which have ""Welcome"" in their tagline. 
3. **RETURN** clause returns the titles of the filtered movies. 

</explanation>
```cypher
MATCH (m:Movie)
WHERE m.tagline CONTAINS 'Welcome'
RETURN m.title
```",Complex Aggregation Queries,"MATCH (m:Movie)
WHERE m.tagline CONTAINS 'Welcome'
RETURN m.title","This query searches for all movies with the word ""Welcome"" in the tagline. 

1. **MATCH** clause finds all `Movie` nodes.
2. **WHERE** clause filters for `Movie` nodes which have ""Welcome"" in their tagline. 
3. **RETURN** clause returns the titles of the filtered movies."
What are the roles of actors in movies released in the year 2003?,movies,"<explanation>
This query starts by finding movies released in 2003. Then, it traverses the ACTED_IN relationships from those movies to find the actors who acted in them. Finally, it returns the titles of the movies and the roles of the actors who acted in those movies.
</explanation>
```cypher
MATCH (m:Movie {released: 2003})<-[ai:ACTED_IN]-(p:Person)
RETURN m.title AS movie, p.name AS actor, ai.roles AS roles
```",Complex Aggregation Queries,"MATCH (m:Movie {released: 2003})<-[ai:ACTED_IN]-(p:Person)
RETURN m.title AS movie, p.name AS actor, ai.roles AS roles","This query starts by finding movies released in 2003. Then, it traverses the ACTED_IN relationships from those movies to find the actors who acted in them. Finally, it returns the titles of the movies and the roles of the actors who acted in those movies."
List the summaries of reviews for movies with a rating greater than 90 and released after 2000.,movies,"<explanation>
1. We start by matching the `Movie` nodes with `released` property greater than 2000.
2. Then, we match the `REVIEWED` relationships related to these movies with `rating` greater than 90.
3. Finally, we return the `summary` property of these relationships.
</explanation>
```cypher
MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE m.released > 2000 AND r.rating > 90
RETURN r.summary
```",Complex Aggregation Queries,"MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE m.released > 2000 AND r.rating > 90
RETURN r.summary","1. We start by matching the `Movie` nodes with `released` property greater than 2000.
2. Then, we match the `REVIEWED` relationships related to these movies with `rating` greater than 90.
3. Finally, we return the `summary` property of these relationships."
"Which person wrote a movie with ""Matrix"" in the title and was born after 1950?",movies,"<explanation>
This query starts by finding movies with ""Matrix"" in the title. Then it looks for people who have a WROTE relationship with that movie and were born after 1950. Finally, it returns the names of those people. 

1. **MATCH (m:Movie)**: This line searches for all nodes with the label ""Movie"" and assigns them to the variable 'm'.
2. **WHERE m.title CONTAINS 'Matrix'**: This line filters the 'm' nodes by checking if the 'title' property contains ""Matrix.""
3. **MATCH (p:Person)-[:WROTE]->(m)**: This line looks for ""Person"" nodes that have a ""WROTE"" relationship with the previously filtered ""Movie"" nodes and assigns those ""Person"" nodes to the variable 'p.'
4. **WHERE p.born > 1950**: This line filters the 'p' nodes, keeping only those where the 'born' property is greater than 1950.
5. **RETURN p.name**: This line returns the ""name"" property of the 'p' nodes that have passed through all the filters. 
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.title CONTAINS 'Matrix'
MATCH (p:Person)-[:WROTE]->(m)
WHERE p.born > 1950
RETURN p.name
```",Complex Aggregation Queries,"MATCH (m:Movie)
WHERE m.title CONTAINS 'Matrix'
MATCH (p:Person)-[:WROTE]->(m)
WHERE p.born > 1950
RETURN p.name","This query starts by finding movies with ""Matrix"" in the title. Then it looks for people who have a WROTE relationship with that movie and were born after 1950. Finally, it returns the names of those people. 

1. **MATCH (m:Movie)**: This line searches for all nodes with the label ""Movie"" and assigns them to the variable 'm'.
2. **WHERE m.title CONTAINS 'Matrix'**: This line filters the 'm' nodes by checking if the 'title' property contains ""Matrix.""
3. **MATCH (p:Person)-[:WROTE]->(m)**: This line looks for ""Person"" nodes that have a ""WROTE"" relationship with the previously filtered ""Movie"" nodes and assigns those ""Person"" nodes to the variable 'p.'
4. **WHERE p.born > 1950**: This line filters the 'p' nodes, keeping only those where the 'born' property is greater than 1950.
5. **RETURN p.name**: This line returns the ""name"" property of the 'p' nodes that have passed through all the filters."
What is the average rating of movies released before 1990 and with less than 500 votes?,movies,"<explanation>
1. We need to find movies released before 1990: `MATCH (m:Movie) WHERE m.released < 1990`.
2. We also need to filter movies with less than 500 votes: `AND m.votes < 500`.
3. We need to get all the ratings for these movies: `WITH m, r.rating AS ratings`.
4. Finally, we can calculate the average of the collected ratings: `RETURN avg(ratings)`.

```cypher
MATCH (m:Movie)<-[r:REVIEWED]-()
WHERE m.released < 1990 AND m.votes < 500
WITH m, r.rating AS ratings
RETURN avg(ratings)
```
</explanation>
```cypher
MATCH (m:Movie)<-[r:REVIEWED]-()
WHERE m.released < 1990 AND m.votes < 500
WITH m, r.rating AS ratings
RETURN avg(ratings)
```
",Complex Aggregation Queries,"MATCH (m:Movie)<-[r:REVIEWED]-()
WHERE m.released < 1990 AND m.votes < 500
WITH m, r.rating AS ratings
RETURN avg(ratings)","1. We need to find movies released before 1990: `MATCH (m:Movie) WHERE m.released < 1990`.
2. We also need to filter movies with less than 500 votes: `AND m.votes < 500`.
3. We need to get all the ratings for these movies: `WITH m, r.rating AS ratings`.
4. Finally, we can calculate the average of the collected ratings: `RETURN avg(ratings)`.

```cypher
MATCH (m:Movie)<-[r:REVIEWED]-()
WHERE m.released < 1990 AND m.votes < 500
WITH m, r.rating AS ratings
RETURN avg(ratings)
```"
"Find the names of people who follow someone who directed a movie with ""The"" in the title.",movies,"<explanation>
1. **Find people who directed a movie with ""The"" in the title:**
   - Match nodes with label ""Person"" and ""Movie"" connected by the ""DIRECTED"" relationship.
   - Filter movies where the title contains ""The"".
2. **Find people who follow those directors:**
   - Traverse the ""FOLLOWS"" relationship from the directors to the followers.
3. **Return the names of the followers:**
   - Return the ""name"" property of the follower nodes.
</explanation>
```cypher
MATCH (follower:Person)-[:FOLLOWS]->(director:Person)-[:DIRECTED]->(m:Movie)
WHERE  m.title CONTAINS 'The'
RETURN DISTINCT follower.name
```",Complex Aggregation Queries,"MATCH (follower:Person)-[:FOLLOWS]->(director:Person)-[:DIRECTED]->(m:Movie)
WHERE  m.title CONTAINS 'The'
RETURN DISTINCT follower.name","1. **Find people who directed a movie with ""The"" in the title:**
   - Match nodes with label ""Person"" and ""Movie"" connected by the ""DIRECTED"" relationship.
   - Filter movies where the title contains ""The"".
2. **Find people who follow those directors:**
   - Traverse the ""FOLLOWS"" relationship from the directors to the followers.
3. **Return the names of the followers:**
   - Return the ""name"" property of the follower nodes."
Which movies were released after 2000 and have a rating below 70?,movies,"<explanation>
This query looks for movies released after 2000 with a rating below 70. 

1. **MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)**: This part finds all movies that have been reviewed and returns the movie node, the review relationship, and the person node.
2. **WHERE m.released > 2000 AND r.rating < 70**: This filters the results to only include movies released after 2000 and have a rating less than 70.
3. **RETURN DISTINCT m.title AS MovieTitle**: This returns the title of each movie that meets the criteria. The DISTINCT keyword is used to avoid duplicate titles in the result set.

</explanation>
```cypher
MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE m.released > 2000 AND r.rating < 70
RETURN DISTINCT m.title AS MovieTitle
```",Complex Aggregation Queries,"MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE m.released > 2000 AND r.rating < 70
RETURN DISTINCT m.title AS MovieTitle","This query looks for movies released after 2000 with a rating below 70. 

1. **MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)**: This part finds all movies that have been reviewed and returns the movie node, the review relationship, and the person node.
2. **WHERE m.released > 2000 AND r.rating < 70**: This filters the results to only include movies released after 2000 and have a rating less than 70.
3. **RETURN DISTINCT m.title AS MovieTitle**: This returns the title of each movie that meets the criteria. The DISTINCT keyword is used to avoid duplicate titles in the result set."
List the taglines of movies acted in by someone born before 1960.,movies,"<explanation>
1. We need to find all persons that were born before 1960.
2. Then we need to find all the movies these persons acted in.
3. Finally, we return the taglines of those movies.

```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE p.born < 1960
RETURN DISTINCT m.tagline
```
</explanation>
```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE p.born < 1960
RETURN DISTINCT m.tagline
```",Complex Aggregation Queries,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE p.born < 1960
RETURN DISTINCT m.tagline","1. We need to find all persons that were born before 1960.
2. Then we need to find all the movies these persons acted in.
3. Finally, we return the taglines of those movies.

```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE p.born < 1960
RETURN DISTINCT m.tagline
```"
"What are the roles of actors in movies with ""Matrix"" in the title?",movies,"<explanation>
This Cypher query identifies the roles of actors in movies with ""Matrix"" in the title:

1. **MATCH (m:Movie)**: This line starts by finding all nodes with the label ""Movie"" and assigns them the variable ""m"".
2. **WHERE m.title CONTAINS ""Matrix""**: This line filters the found Movie nodes to only include those where the title property contains the string ""Matrix"".
3. **MATCH (p:Person)-[:ACTED_IN]->(m)**: This line looks for relationships of type ""ACTED_IN"" where the start node is a Person (assigned the variable ""p"") and the end node is one of the previously filtered Movie nodes (m).
4. **RETURN m.title, p.name, ai.roles**: This line returns the title of the movie, the name of the person who acted in it, and the roles they had in the movie.

This query effectively combines pattern matching and property filtering to pinpoint the desired information within the graph.
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.title CONTAINS ""Matrix""
MATCH (p:Person)-[ai:ACTED_IN]->(m)
RETURN m.title, p.name, ai.roles
```",Complex Aggregation Queries,"MATCH (m:Movie)
WHERE m.title CONTAINS ""Matrix""
MATCH (p:Person)-[ai:ACTED_IN]->(m)
RETURN m.title, p.name, ai.roles","This Cypher query identifies the roles of actors in movies with ""Matrix"" in the title:

1. **MATCH (m:Movie)**: This line starts by finding all nodes with the label ""Movie"" and assigns them the variable ""m"".
2. **WHERE m.title CONTAINS ""Matrix""**: This line filters the found Movie nodes to only include those where the title property contains the string ""Matrix"".
3. **MATCH (p:Person)-[:ACTED_IN]->(m)**: This line looks for relationships of type ""ACTED_IN"" where the start node is a Person (assigned the variable ""p"") and the end node is one of the previously filtered Movie nodes (m).
4. **RETURN m.title, p.name, ai.roles**: This line returns the title of the movie, the name of the person who acted in it, and the roles they had in the movie.

This query effectively combines pattern matching and property filtering to pinpoint the desired information within the graph."
Which person directed a movie released in 2003 and born after 1950?,movies,"<explanation>
This query starts by matching all 'Person' nodes with 'born' property greater than 1950. It then traverses through 'DIRECTED' relationships to find 'Movie' nodes released in 2003. Finally, it returns the names of the people who meet the criteria. 
</explanation>
```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born > 1950 AND m.released = 2003
RETURN p.name
```",Complex Aggregation Queries,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born > 1950 AND m.released = 2003
RETURN p.name","This query starts by matching all 'Person' nodes with 'born' property greater than 1950. It then traverses through 'DIRECTED' relationships to find 'Movie' nodes released in 2003. Finally, it returns the names of the people who meet the criteria."
"Find the average number of votes for movies with a tagline containing ""end"".",movies,"<explanation>
1. **Find movies with a tagline containing ""end"":** We can use `MATCH (m:Movie)` to find all movie nodes and then use `WHERE` clause with `CONTAINS` to filter movies whose tagline property contains ""end"".
2. **Calculate the average number of votes:** We can use the `avg()` function to compute the average votes for the filtered movies.

```cypher
MATCH (m:Movie)
WHERE m.tagline CONTAINS 'end'
RETURN avg(m.votes) AS average_votes
```
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.tagline CONTAINS 'end'
RETURN avg(m.votes) AS average_votes
```",Complex Aggregation Queries,"MATCH (m:Movie)
WHERE m.tagline CONTAINS 'end'
RETURN avg(m.votes) AS average_votes","1. **Find movies with a tagline containing ""end"":** We can use `MATCH (m:Movie)` to find all movie nodes and then use `WHERE` clause with `CONTAINS` to filter movies whose tagline property contains ""end"".
2. **Calculate the average number of votes:** We can use the `avg()` function to compute the average votes for the filtered movies.

```cypher
MATCH (m:Movie)
WHERE m.tagline CONTAINS 'end'
RETURN avg(m.votes) AS average_votes
```"
List the names of people who acted in movies with more than 1000 votes and released before 2000.,movies,"<explanation>
This query finds all people who acted in movies released before the year 2000 with more than 1000 votes.
1. **MATCH** the `ACTED_IN` relationship between `Person` and `Movie` nodes.
2. **WHERE** clause filters for `Movie` nodes released before 2000 and having more than 1000 votes.
3. **RETURN** the `name` property of the `Person` nodes.
</explanation>
```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE m.released < 2000 AND m.votes > 1000
RETURN DISTINCT p.name
```",Complex Aggregation Queries,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE m.released < 2000 AND m.votes > 1000
RETURN DISTINCT p.name","This query finds all people who acted in movies released before the year 2000 with more than 1000 votes.
1. **MATCH** the `ACTED_IN` relationship between `Person` and `Movie` nodes.
2. **WHERE** clause filters for `Movie` nodes released before 2000 and having more than 1000 votes.
3. **RETURN** the `name` property of the `Person` nodes."
"Which person produced ""Speed Racer""?",movies,"<explanation>This query starts with finding the movie with the title ""Speed Racer"". Then, it traverses the `PRODUCED` relationship backwards to find the person who produced that movie. Finally, it returns the `name` property of that person.
</explanation>
```cypher
MATCH (m:Movie {title: ""Speed Racer""})<-[:PRODUCED]-(p:Person)
RETURN p.name
```",Complex Aggregation Queries,"MATCH (m:Movie {title: ""Speed Racer""})<-[:PRODUCED]-(p:Person)
RETURN p.name","This query starts with finding the movie with the title ""Speed Racer"". Then, it traverses the `PRODUCED` relationship backwards to find the person who produced that movie. Finally, it returns the `name` property of that person."
What are the taglines of movies with a rating greater than 80 and released after 1995?,movies,"<explanation>
This query first finds all the movies that have been rated above 80. It then filters those movies by release year (after 1995). Finally, the query returns the taglines of the remaining movies.

1. **MATCH (p:Person)-[r:REVIEWED]->(m:Movie)**: This matches all movies that have been reviewed by a person.
2. **WHERE r.rating > 80 AND m.released > 1995**: This filters the movies to those released after 1995 and rated above 80.
3. **RETURN m.tagline**: This returns the taglines of the filtered movies.

```cypher
MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE r.rating > 80 AND m.released > 1995
RETURN m.tagline
```
</explanation>",Complex Aggregation Queries,"MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE r.rating > 80 AND m.released > 1995
RETURN m.tagline","This query first finds all the movies that have been rated above 80. It then filters those movies by release year (after 1995). Finally, the query returns the taglines of the remaining movies.

1. **MATCH (p:Person)-[r:REVIEWED]->(m:Movie)**: This matches all movies that have been reviewed by a person.
2. **WHERE r.rating > 80 AND m.released > 1995**: This filters the movies to those released after 1995 and rated above 80.
3. **RETURN m.tagline**: This returns the taglines of the filtered movies.

```cypher
MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE r.rating > 80 AND m.released > 1995
RETURN m.tagline
```"
"Find the titles of movies reviewed with the summary ""An amazing journey"".",movies,"<explanation>This query starts by finding all :REVIEWED relationships with a `summary` property equal to ""An amazing journey.""  Then, it returns the `title` property of all :Movie nodes that are connected to these relationships.
</explanation>
```cypher
MATCH ()-[:REVIEWED {summary: ""An amazing journey""}]->(m:Movie)
RETURN m.title
```",Complex Aggregation Queries,"MATCH ()-[:REVIEWED {summary: ""An amazing journey""}]->(m:Movie)
RETURN m.title","This query starts by finding all :REVIEWED relationships with a `summary` property equal to ""An amazing journey.""  Then, it returns the `title` property of all :Movie nodes that are connected to these relationships."
